Territorialidades,Taxa de Distorção Idade-Série no fundamental 2017,Taxa de Distorção Idade-Série no médio 2017,IDEB anos finais do ensino fundamental 2017,% de alunos do ensino fundamental em escolas com internet 2017,% de docentes do fundamental com formação adequada 2017,Rendimento médio no setor formal 2017,Transferência per capita do Bolsa Família 2017,Transferência per capita do Benefício de Prestação Continuada 2017,Taxa de mortalidade infantil 2017,% de nascidos vivos com pelo menos sete consultas de pré-natal 2017,% de nascidos vivos com baixo peso ao nascer 2017,Taxa bruta de mortalidade 2017,% de internações por doenças relacionadas ao saneamento ambiental inadequado 2017,% de internações por condições sensíveis à atenção primária 2017,% de analfabetos com 15 anos ou mais de idade no Cadastro Único 2017,% de extremamente pobres no Cadastro Único pós Bolsa Família 2017,% de pessoas inscritas no Cadastro Único que recebem Bolsa Família 2017,% de cobertura vegetal natural 2017,% da população urbana residente em domicílios ligados à rede de abastecimento de água 2017,% da população urbana residente em domicílios ligados à rede de esgotamento sanitário 2017,% de esgoto tratado 2017,% da população urbana atendida por serviços regulares de coleta de resíduos domiciliares 2017,População total 2017
Cristino Castro (PI),"41,8",53,"3,7","97,51","37,2","1027,48","369,44","213,36","6,21","65,84","8,07","4,29","7,11","41,94","21,21","80,87","81,5","94,51",98,,,,10253
Cristópolis (BA),"27,8","44,8",4,"96,35","32,5","1093,1","207,03","123,28","29,41","81,76","11,76","4,86","18,4","35,95","17,55","53,62","75,72","76,98",100,,,,14403
Crixás do Tocantins (TO),"21,6","24,2","2,9","96,76",50,"908,62","88,81","157,38",0,"70,83","4,17","4,1",0,"25,53",11,"12,1","30,16","62,11",100,,,,1708
Crixás (GO),"9,4","22,6","5,4","93,72","58,9","1885,4","73,08","175,98","16,46","75,31","4,53","5,27","10,49","50,2","10,6","14,81","59,32",35,"97,06",,,,16893
Croatá (CE),"11,5","20,1","4,7","90,05",27,"1064,19","298,23","119,64","16,04","86,1","7,49","7,16","2,68","21,3","23,33","64,62","77,74","76,22","51,47","11,81",100,,17874
Cromínia (GO),"10,4","30,9","5,8",100,"54,5","896,42","125,34","104,06",0,"77,42",,"9,71","4,08","31,58","6,75","8,28",59,"31,07",100,,,100,3606
Crucilândia (MG),"17,6","23,1","4,6","94,04","62,4","904,21","77,05","101,03",0,"90,91","6,82","11,07","1,61","20,26","11,58","16,05","62,86","7,36","96,75","98,71",50,100,5057
Cruzália (SP),"3,8","1,4","5,6","90,11","78,8","1390,05","184,77","131,07",0,"89,29",,"8,33",0,"15,65","32,9","85,43","20,99","1,65",100,100,100,100,2161
Cruz Alta (RS),"17,1","35,2","4,1","99,24","51,6","1415,77","29,85","182,11","6,96","81,55","10,09","8,63","1,36","22,17","5,54","8,09","46,71","8,16",100,"18,13","95,25",100,63463
Cruzaltense (RS),"10,8","13,5","5,8",100,"77,3","1435,68","13,05","7,59",0,"81,82","27,27","6,8",0,"5,26","8,98","0,36","13,95","10,28",100,"25,53",0,100,2059
Cruz (CE),"5,2","15,7","6,4",100,"30,7","907,69","229,57","97,89","12,14","81,31","6,31","6,34","1,33","26,61","16,74","48,46","79,21","24,21","73,33",,,100,23983
Cruz das Almas (BA),"27,5","38,1","3,1","69,73","46,9","1856,62","68,13","160,38","10,68","61,92","6,41","6,33","0,09","8,98","6,6","28,95","60,56","7,95","96,35","33,68",100,,64932
Cruz do Espírito Santo (PB),32,"41,9",,"85,45","29,9","835,52","224,21","83,33","6,19","54,49","4,95","4,61","1,5","22,95","14,15","47,42","86,83","16,84","85,45",,,,17559
Cruzeiro da Fortaleza (MG),"11,9","22,3","5,5",100,"74,1","1148,72","106,46","134,42","17,54","77,19","10,53","7,91","1,2","19,53","5,2","22,29","51,76","22,74","88,19",,,,4174
Cruzeiro do Iguaçu (PR),"15,7","19,4","4,9",100,"72,1","1120,47","60,53","69,1","15,87","68,25","11,11","4,12","4,85","38,7","10,4","21,55","43,99","17,34",100,,,"97,05",4369
Cruzeiro do Oeste (PR),"7,8","11,3","5,6",100,"62,5","1246,69","18,26","194,17","13,7","89,38","8,9","7,25","0,79","20,23","7,93","5,36","22,11","9,04",100,"80,32",100,100,21237
Cruzeiro do Sul (PR),"12,3","39,7","4,7",100,"70,6","1147,14","67,35","117,96","25,97","90,91","10,39","7,14","0,33","15,02","8,89","11,37","43,52","5,88",100,,,,4619
Cruzeiro do Sul (RS),"19,3","26,8","4,4",100,"48,7","1386,07","22,55","65,05","9,43","71,7","6,6","9,14","1,13","15,87","6,93","21,44","60,28","21,5","94,04",,,,12258
Cruzeiro (SP),"6,9","12,2","4,8","85,17","62,2","2026,63","35,87","104,19","14,05","63,89","8,22","7,87","0,72","22,19","4,1","19,56","58,84","33,3",100,100,0,100,81724
Cruzeta (RN),"8,3",35,"4,3",100,"68,3","880,7","154,25","153,5","10,64","76,6","4,26","8,1","0,61","15,81","11,47","37,11","56,67","71,14",0,"89,98",0,100,8147
Cruzília (MG),"10,7","27,2","4,9","97,69","70,4","968,72","108,42","238,5","13,04","94,78","6,96","8,71","0,62","28,73","10,16","12,38","57,56","12,72","92,53","86,13",0,,15497
Cruz Machado (PR),"14,2","15,3","4,2","98,12","78,8","1235,17","56,81","72,8",0,"97,62","5,71","5,77","0,84","23,84","5,22","14,25","44,84","53,26",100,"9,7",100,,18907
Cruzmaltina (PR),"17,9","32,5","4,8",100,"81,5","1270,62","109,48","46,02",0,"95,24","7,14","10,93","5,19","28,22","7,93","8,27","59,6","13,49",100,,,,3110
Cubatão (SP),"11,5",25,"4,7","68,61",72,"2823,23","29,86","130,18","13,58","81,42","8,52","5,28","0,25","10,84","8,43","36,25","67,2","70,13","85,67","52,43",100,100,128748
Cubati (PB),"32,7",50,4,"79,98","65,6","866,21","228,03","72,17",0,"79,35","6,52","8,8","18,3","43,89","8,19","65,59","83,7","34,37",100,0,,,7274
Cuiabá (MT),"7,3","24,2","4,5","88,13","64,4","2548,3","31,21","211,12","11,52","74,21","8,34","5,84","0,37","12,8","6,64","7,29","45,56","67,59","99,99","54,54","62,3","99,19",590118
Cuité de Mamanguape (PB),"45,9","60,6","2,7","64,54",51,"863,7","305,2","122,87",0,"61,17","8,74","6,76",0,"11,8","20,54","53,38","88,72","8,83","71,05",,,,6358
Cuitegi (PB),"24,8","48,5","2,9","46,01","20,1","749,44","195,36","183,48",0,"69,64","6,25","7,81",0,"9,01","22,61","36,89","72,16","19,15",100,,,,6790
Cuité (PB),"17,7","44,7","3,9","89,87","51,4","932,63","289,14","253,06","15,21","77,19","5,32","6,19","6,79","46,17","15,26","65,53","86,52","49,73",0,,,100,20348
Cujubim (RO),"29,8",39,"4,2","97,11","59,7","1128,36","71,1","62,43","9,57","65,55","6,22","2,45","4,63","31,65","10,6","13,55","64,75","53,54","12,57",,,100,22443
Cumari (GO),"9,9","19,7","5,8",100,"68,7","1051,44","38,26","81,87",0,"83,87","6,45","7,39","1,2","31,33","8,34","3,35","34,06","20,35",100,,,,2975
Cumaru do Norte (PA),"36,2",50,"3,7","46,2","31,2","1334,95","166,18","55,53","18,07","33,73","5,42","2,67","5,26","34,38","15,36","51,51","81,72","62,08",,,,,13093
Cumaru (PE),"23,6","22,7","3,7","34,21","65,1","1069,75","471,42","126,68","13,07","77,78","5,88","10,3",0,"16,97","14,93","74,46","82,78","28,95",100,,,,11559
Cumbe (SE),"36,7","48,6","3,9","91,43","72,7","1139,59","241,37","50,96",0,"75,44","1,75","5,23","0,74","11,7","13,64","36,98","73,91","0,43","97,57",,,,4012
Cunha Porã (SC),"15,2","20,3","5,1",100,"66,6","1363,17","20,91","79,08","22,9","90,84","8,4","8,14","6,91","28,94","5,5","10,62","37,69","21,43",100,,,100,11057
