Territorialidades,Taxa de Distorção Idade-Série no fundamental 2017,Taxa de Distorção Idade-Série no médio 2017,IDEB anos finais do ensino fundamental 2017,% de alunos do ensino fundamental em escolas com internet 2017,% de docentes do fundamental com formação adequada 2017,Rendimento médio no setor formal 2017,Transferência per capita do Bolsa Família 2017,Transferência per capita do Benefício de Prestação Continuada 2017,Taxa de mortalidade infantil 2017,% de nascidos vivos com pelo menos sete consultas de pré-natal 2017,% de nascidos vivos com baixo peso ao nascer 2017,Taxa bruta de mortalidade 2017,% de internações por doenças relacionadas ao saneamento ambiental inadequado 2017,% de internações por condições sensíveis à atenção primária 2017,% de analfabetos com 15 anos ou mais de idade no Cadastro Único 2017,% de extremamente pobres no Cadastro Único pós Bolsa Família 2017,% de pessoas inscritas no Cadastro Único que recebem Bolsa Família 2017,% de cobertura vegetal natural 2017,% da população urbana residente em domicílios ligados à rede de abastecimento de água 2017,% da população urbana residente em domicílios ligados à rede de esgotamento sanitário 2017,% de esgoto tratado 2017,% da população urbana atendida por serviços regulares de coleta de resíduos domiciliares 2017,População total 2017
Maracaju (MS),"23,1","33,7","4,4","99,24","66,1","1311,29","21,63","142,45","6,32","77,12","7,71","4,62","1,7","24,95","9,53","3,6","34,75","24,4","99,47","20,23",100,100,44994
Maracanã (PA),"33,6","60,1","3,5","41,72","9,1","897,53","275,35","118,27","16,57","37,29","9,67","5,16","6,46","25,92","6,41","66,96","88,42","68,52",,,,,28679
Maracanaú (CE),"11,6","30,8","4,9","95,02","58,5","1242,55","82,82","209,17","11,54","76,02","7,29","7,02","0,58","14,7","9,19","19,89","55,8","46,32","65,39","31,05",100,100,224804
Maracás (BA),"24,1",41,"3,5","87,05","52,5","1226,47","181,81","272,97","8,13","60,7","6,23","7,73","6,11","43,74","14,54","27,29","64,75","40,02","77,39",,,,23018
Maragogi (AL),"39,8","43,9","3,4","19,4",25,"910,58","193,2","166,95","19,78","39,75","6,29","4,77","0,93","10,66","14,26","41,49","85,81","27,17","68,34","36,42",100,,32940
Maragogipe (BA),"30,8",46,"2,8","61,94","33,6","1375,84","236,67","143,69","11,14","63,25","3,79","5,88","0,37","14,58","12,02","60,86","85,02","48,46",100,"54,34",100,100,46260
Maraial (PE),35,"31,4","3,4","89,62","33,9","665,88","346,8","104,88","4,17","60,42","5,83","7,43","0,49","16,7","22,76","63,76","87,1","27,67","61,53",,,,11433
Marajá do Sena (MA),"33,1","57,1","2,8","23,39","12,8","1566,73","292,5","13,6",0,"76,14","5,68","1,45","13,87","32,39","21,67","71,37","90,35","58,24",100,,,100,7604
Maranguape (CE),"12,1","24,6","4,7","98,13","42,9","910,14","141,53","275,42","17,03","79,7","7,79","5,68","1,55","17,86","11,13","18,7","70,95","81,91","77,03","12,82",100,100,126486
Maranhãozinho (MA),24,"50,2","3,5","71,84","10,3","1058,6","228,85","46,19","9,52","55,71","5,24","3,18","18,13","64,62","11,99","57,07","85,65","25,66","21,27",,,,16366
Marapanim (PA),"32,4","59,7","3,2","65,31","45,5","1196,72","245,05","155,75","6,17","39,51","7,72","5,62","1,26","17,22","5,28","59,71","89,88","72,83","81,37",,,100,27569
Marapoama (SP),6,"24,5","5,2",100,"89,7","1606,85","55,92","70,76",0,"92,59","3,7","7,12","1,79","33,8",8,"4,6","58,22","5,29","98,9","98,9",0,100,2949
Mara Rosa (GO),"13,6","19,7","5,6","97,87","49,1","1057,8","79,7","307,35",16,88,4,"7,63",0,"6,67","10,41","6,36","55,45","34,67","99,93","80,19","56,56","91,55",10228
Marataízes (ES),"29,8","27,3","4,3","75,61","62,6","1103,05","78,21","158,94","9,07","67,33","9,26","6,83","0,72","18,65","7,02","32,69","67,8","1,79",100,"54,41",100,100,38670
Maratá (RS),"23,2","27,1","4,8",100,"59,8","1308,86","6,49","36,39",,90,5,"6,72","1,36","12,95","3,62","3,29","10,56","73,34",,,,,2677
Maraú (BA),"44,8","58,4","3,4","68,08","12,4","977,29","242,45","17,75","8,1","46,96","6,48","3,61","3,17","26,56","18,87","49,57","87,02","80,23","88,14",,,100,21313
Marau (RS),"14,9",24,"4,8",100,"68,4","1490,28","10,04","75,81","7,52","91,92","12,22","5,72","0,2","18,22","6,13","4,57","32,61","16,17","95,71","98,23",100,100,41059
Maravilha (AL),"35,8","37,5","4,3","86,99","7,5",1316,"369,35","155,67","6,1","70,73","5,49","6,8","1,01","13,23","15,72","64,25",87,"15,73","88,8",,,100,9418
Maravilha (SC),15,"24,6","5,1",100,"79,4","1338,8","11,97","83,35","2,78","82,5","8,06","5,58","0,41","17,48","7,71","17,76","41,06","20,95",100,,,,25076
Maravilhas (MG),"9,8","27,7","4,6","98,46","69,3","922,2","148,25","104,91","14,93","68,66","5,97","4,7",0,"14,11","5,6",47,"61,11","28,76","98,31",100,0,100,7876
Marcação (PB),"41,2","74,8","2,8","92,84","42,1","875,7","280,69","109,12",0,"79,07","6,4","4,31","1,67","10,98","21,65","71,93","90,74","21,68",100,,,100,8586
Marcelândia (MT),"4,4","29,2",5,"96,46","45,3","1107,3","140,97","194,6","10,1","73,23","5,56","6,62","8,98","30,06","9,79","12,51","68,43","75,64",100,,,100,10422
Marcelino Ramos (RS),"22,3","28,8",4,100,"47,2","1298,65","19,48","130,51",0,"82,93","12,2","13,36","4,69","23,3","7,34","10,52","24,65","31,5","99,96",,,100,4941
Marcelino Vieira (RN),"28,7","39,1","3,5","96,63","45,2","1117,03","220,03","109,98","9,8","75,49","8,82","8,24","10,46","27,24","10,93","42,12","77,42","46,37",0,,,"96,52",8492
Marcionílio Souza (BA),"21,7","42,6",,"72,37","29,9","902,32","345,02","73,11","7,81","67,97","5,47","5,58",0,"8,33","15,01","65,2","85,86","26,65",100,,,,10931
Marco (CE),"6,4","16,9","4,4","88,62","43,7","845,64","184,77","177,88","14,29","75,92","7,14","5,45","4,43","27,12","21,8","50,06","77,8","76,08","73,01",,,100,26981
Marcolândia (PI),"24,5","37,7","4,2","87,53","41,7","1021,54","379,21","52,04",0,"77,24","6,9","6,11","1,4","10,15","14,38","88,36","91,65","52,45",,,,100,8342
Marcos Parente (PI),"26,9","36,1","3,5",100,"42,4","894,71","217,24","31,29","42,86",80,"17,14","6,25","1,81","12,77","12,54","64,6","81,15","98,84","97,77",,,,4478
Mar de Espanha (MG),12,"35,6","4,4",100,"77,1","714,7","48,91","115,37","17,75","79,88","6,51","8,32","2,53","34,9","8,95","19,28","42,92","26,29","88,61",,,100,12743
Marechal Cândido Rondon (PR),"10,8","18,8","4,8",100,65,"1538,55","8,96","99,05","13,19","85,62","7,39","6,66","1,27","17,73","8,03","5,84","25,1","16,2",100,"27,58",100,100,51795
Marechal Deodoro (AL),37,"39,2","3,8","31,17","61,7","1420,63","189,84","181,55","11,04","53,42","7,73","5,38","1,68","14,47","19,2","43,34","79,67","19,42","98,6","46,12",100,,52260
Marechal Floriano (ES),"18,2","17,4","5,7",100,"66,3","1009,34","40,94","103,1","20,16","72,98","5,24","6,17","2,81","27,52","10,85","8,4","46,92","66,49","88,72",,,"92,51",16545
Marema (SC),"10,8","23,1","5,5",100,"78,1","1413,52","16,97","99,7",,"70,59",,"7,35","2,8","16,02","9,36","4,76","29,89","19,75",100,,,"91,19",1906
Maria da Fé (MG),"10,8","21,5","5,2",100,"69,1","1074,88",49,"172,28","5,26",80,"12,11","7,04","0,2","32,22","10,65","17,65","50,35","23,55","91,86",,,100,14488
Maria Helena (PR),"17,2","22,6","4,5",100,"76,5","1028,79","34,01","144,16","13,16","77,63","6,58","7,59","0,47","14,47","13,81","15,04","33,04","8,48",100,,,100,5932
Marialva (PR),"15,9",28,"4,9",100,"77,3","1380,32","30,12","126,31","10,14","86,61","9,53","6,18","0,64","14,97","7,53","10,77","35,55","6,39",100,"70,9",100,,34955
Mariana (MG),"21,7","42,4","4,2","96,47","71,1","1442,9","127,17","108,05","13,21","84,51",9,"5,61","0,87","24,76","4,26","56,73","66,65","41,04",100,80,0,100,59857
Mariana Pimentel (RS),"19,9","27,2","4,6","91,4","49,8","1272,8","44,72","123,73",0,"73,53","8,82","7,38","1,01","20,51","10,33","10,64","67,71","64,31",100,,,"75,08",3932
Mariano Moro (RS),"5,1","18,5","4,2",100,61,"1366,52","5,98","59,31",,100,,"9,13",0,"7,47","5,06",0,"4,6","21,69",100,,,"96,24",2190
Marianópolis do Tocantins (TO),"23,9","28,3","4,4",100,"40,9","1084,51","119,31","95,42","15,15","57,58","6,06","5,34","2,96","16,89","12,18","32,63","68,06","54,26",100,,,100,5054
Mariápolis (SP),"6,7","9,9","4,9",100,72,"1223,36","56,07","93,44",0,"85,71","8,57","9,05","2,36","19,49","6,39","19,08","36,57","2,01",100,100,100,,4087
Maribondo (AL),"26,5","36,9","3,8","85,05","36,5","990,56","165,34","267,34","10,87","71,74","9,24","7,7","3,67","18,91","16,59","47,9","80,34","3,44","73,95",,,,13514
Maricá (RJ),26,"33,2","4,2","99,92","57,3","1366,9","43,99","150,4","13,84","74,6","8,79","7,59","0,27","19,49","6,66","21,38","45,76","35,43","55,94","11,19","31,01",90,153008
Marilac (MG),"8,6","33,2",4,100,"54,3","917,07","291,88","124,97","39,22","62,75","9,8","7,29","1,11","15,58","10,49","65,74","74,15","7,01",86,"98,52",0,100,4254
Marilândia do Sul (PR),"15,6","27,2","5,1","94,56","82,2","1322,79","61,21","231,18","17,39","96,52","7,83","7,06","0,86","21,25","9,99","18,69","44,25","13,63",100,"25,14",100,100,9068
Marilândia (ES),"18,3","19,1","5,6",100,"65,1",959,"32,41","82,6","7,69","74,62","4,62","6,9","0,42","13,25","9,77","8,85","40,28","25,05","99,88","99,88",0,100,12602
Marilena (PR),"15,3","31,6","4,7",100,70,"994,43","75,13","107,59",0,"83,53","5,88","7,4","2,68","25,85","8,76","11,41","41,5","10,91",100,,,100,7166
Marília (SP),"3,5","6,1",5,"93,43","70,3","1557,33","31,13","150,29","9,55","76,65","9,83","6,86","0,33","15,06","6,42","18,96","48,51","10,13","99,73","99,73","2,94",100,235234
Mariluz (PR),"16,9","28,3","3,8",100,"78,2","1270,79","59,74","147,01","34,01","85,71","7,48","6,92","0,73","14,38","8,59","10,37","46,62","9,66","99,87","55,49",100,100,10555
Maringá (PR),"9,3","17,6","4,6","99,06","81,8","1646,65","13,62","103,53","10,08","84,49","8,44","5,62","0,33","12,4","7,26","11,88","30,63","5,11",100,"99,99",100,"99,11",406693
Marinópolis (SP),"6,3","10,8",6,100,"90,9","1144,96","40,1","135,73",0,"84,62","7,69","8,41","5,23","21,43","11,38","4,37","22,96","2,72",100,"99,59",100,100,2140
Mário Campos (MG),"15,8","28,7","3,5","98,98","75,2","969,21","85,27","28,33","14,42","85,58","12,98","4,27","0,17","13,07","9,17","32,32","59,79","25,88","98,71","63,59","61,28",100,14988
Mariópolis (PR),"13,8","22,5","4,5",100,"78,9","1327,08","50,61","120,04",0,"88,76","7,87","6,93","0,8","20,06","6,65","12,6","39,44","15,27",100,,,100,6638
Maripá de Minas (MG),8,"30,7","5,4",100,"62,5","871,41","42,92","120,31",0,"96,88","6,25","6,71","0,4","25,85","7,72","1,51","36,07","21,47","94,3","85,5",0,100,2979
Maripá (PR),"13,5",20,"6,2",100,"74,6","1617,46","8,37","62,68",0,"96,34","2,44","9,7","0,31","9,6","9,61","3,44","13,76","6,47",100,,,100,5776
Mari (PB),"28,1",39,"3,4","80,87","48,9","995,27","294,35","379,22","10,68","76,16","6,05","7,73","0,42","12,04","21,61","65,77","85,74","3,97","82,9",,,,21854
Marituba (PA),"28,2",47,"3,7","72,38","49,9","1255,66","124,15","116,15","13,94","53,18","9,64","4,75","3,5","16,7","4,37","16,29","72,51","59,75","22,09",,,100,127858
Marizópolis (PB),"37,2","46,8","3,7","75,39","49,4","688,55","283,78","118,75","22,47","88,76","5,62","7,56","1,5","12,04","21,12","84,32","85,45","67,72",100,,,,6614
Marliéria (MG),"13,4",30,"4,6",100,"75,4","946,39","107,35","169,94","44,44","62,22","4,44","8,48",0,"18,41","7,31","11,66","49,6","42,13","46,12","46,12",0,100,4129
Marmeleiro (PR),"7,5","16,3","5,3",100,"73,7","1280,04","61,44","157,11","33,18",91,9,"7,02","13,65","33,42","5,79","13,16","43,21","20,64",100,"67,33",100,100,14539
Marmelópolis (MG),"9,9","16,3","5,5","98,18","60,6","948,7","117,98","102,44",0,"92,31","12,82","6,9",0,"24,17","7,86","25,7","54,28","35,8",100,100,0,100,2900
Marques de Souza (RS),"20,5","29,7","5,4",100,"42,7","1125,99","15,67","44,39",0,"67,86","3,57","8,9","0,85","20,59","8,85","20,29","38,93","59,02","86,14",,,100,4159
Marquinho (PR),"12,2","16,1",4,"96,45","83,9","1183,33","170,26","111,24",0,"80,56","6,94","3,17","5,57","32,49","10,47","44,98","70,03","26,55",100,,,100,4725
Martinho Campos (MG),9,"30,3","4,5","94,43","83,8","1023,29","64,93","163,88","12,9","71,61","11,61","6,4","2,41","27,12","8,14","26,28","53,63","27,49","92,86","46,85",0,100,13436
Martinópole (CE),"11,2","34,9","5,8","96,13","30,9","788,99","295,23","117,08",0,"74,83","8,61","5,5","2,11","15,41","14,23","68,5","86,02","80,34","79,9",,,,11082
Martinópolis (SP),"5,4","11,2","5,1","78,41","84,2","1258,24","52,31","196,67",0,"83,58","8,76","7,54","1,57","23,73","8,68","32,06","51,84","9,53",100,100,100,100,26123
Martins (RN),"25,1","60,4","3,4","99,09","60,7","793,91","177,29","188,11",0,"74,16","5,62","8,76","5,13","25,31","7,49","49,32","73,16","88,53",100,,,100,8793
Martins Soares (MG),"11,1","30,6","4,1","90,13",48,"1168,34","141,5","86,67","9,09","72,73",10,"7,22","0,35","21,53","11,59","21,01","75,6","24,15","59,88",,,,8172
Maruim (SE),"31,7","49,8","2,4","46,36","50,2","1251,7","146,63","134,75","21,51","43,73","10,04",7,"1,3","15,52","9,81","31,02","73,68","13,71","95,93",,,,17297
Marumbi (PR),"15,4","27,1","3,9",100,"66,8","1047,8","32,16","107,78","33,9","94,92","6,78","7,56","2,96","29,07","8,71","5,09","31,82","14,05",100,,,,4765
Mar Vermelho (AL),"24,4","35,6","4,6",100,"58,7","770,21","359,2","51,42","27,78",50,"2,78","5,87","0,66","10,07","13,11","58,79","82,13","1,55","92,34",,,,3579
Marzagão (GO),"15,8","36,1","6,1",100,"32,2","943,39","103,74","108,6","26,32","92,11","2,63","6,29","1,02","33,33","10,3","25,69","60,75","17,45",100,,,,2226
Mascote (BA),"31,9","47,6",3,"94,97","40,9","839,63","205,01","233,08","17,24","54,6","6,32","5,64",1,27,"21,62","49,05","76,51","50,85","94,37",,,"99,46",14728
Massapê (CE),"6,6","22,4","4,8","83,78","38,9","973,65","140,84","199,69","18,8","68,05","7,33","5,86","3,29","19,41","21,22","42,41","69,9","90,73","73,06","21,08",100,100,38210
Massapê do Piauí (PI),"48,2","51,4",3,"78,89","38,7","1018,37","328,45","23,53","40,82","69,39","16,33","6,78","23,92","47,24","23,18","47,19","76,47","63,46",,,,100,6338
Massaranduba (PB),"28,1","34,9","2,9","72,23","46,7","1054,36","200,48","70,76","11,76","64,12","4,12","5,63","4,97","31,3","14,81","49,02","80,28","25,13","89,6",,,100,13853
Massaranduba (SC),"9,2","10,8","5,6","99,06","68,2","1470,85","11,85","37,24","14,29","85,71","6,67","6,81","1,02","14,29","5,24","12,54","50,34","59,82","96,13",,,100,16455
Mata de São João (BA),"21,2","46,4","4,6","76,06","60,2","1218,45","121,34","205,3","18,23",54,"9,54","6,06","0,23","15,73","9,1","19,52","67,11","47,44",100,"58,38",100,"91,74",46998
Mata Grande (AL),"33,5","43,6","3,8","48,52","24,5","922,38","216,68","145,19","14,33","65,9","8,6","5,39","14,95","47,35","21,52","68,23","88,18","26,75","82,41",,,100,25589
Matão (SP),"4,1","7,9","5,5","98,35","72,3","1683,92","32,4","108,73","7,9","83,42","9,08","6,6","0,74","17,13","8,8","23,34","52,27","16,18",100,100,100,"99,48",82307
Mataraca (PB),"35,3","66,2","2,7",81,"66,5","1293,69","268,2","128,5","5,95","70,83","13,69","5,91","0,61","9,06","18,1","56,64","84,23","15,88","98,57",,,100,8466
Mata Roma (MA),"28,5","46,9","3,7","80,05","14,3","1208,07","580,29","253,4","24,92","61,37","5,92","4,24","19,94","49,07","22,7","89,45","80,46","87,7","80,35",,,,16745
Mata (RS),"19,8","31,8","4,8",100,"58,8","1259,91","73,28","116,75",0,"79,55","13,64","8,2","0,35","22,35","4,25","29,93","69,34","45,55","94,44",,,100,5124
Mata Verde (MG),"18,1","39,4","4,3","98,58","48,5","945,1","310,83","239,45","11,36","67,05","12,5","5,86","1,56","26,45","16,09","55,69","84,72","40,87",100,"99,12","86,3",100,8539
Mateiros (TO),"32,5","42,2",4,"89,72",33,"1096,61","103,7","45,09",0,"39,47",,"4,59","1,01","25,58","18,16","26,82","62,05","89,64",100,,,100,2614
Matelândia (PR),9,"24,4","4,6",100,75,"1156,59","14,71","150,37","10,71","87,86","7,5","6,01","1,28","22,86","12,56","1,56","18,44","55,12",100,"63,13",100,,17640
Materlândia (MG),"14,9","47,5","3,6",100,"63,3","956,06","223,3","218,99","16,13","83,87","9,68","9,09","2,95","29,61","10,35","41,06","73,75","47,17",100,"77,5",0,"98,91",4619
Mateus Leme (MG),"15,5","28,4","4,4",100,"43,7","1186,44","56,54","212,21","11,01","73,35","11,89","6,75","0,1","17,81","6,93","24,45","53,95","33,41","76,79","42,71","76,17","62,55",30678
Mathias Lobato (MG),"14,9","46,5","3,1",100,"49,1","1872,55","312,37","567,07",0,"70,59","11,76","6,58","1,92","16,2","18,53","62,83","76,42","1,21","80,69",,,,3342
Matias Barbosa (MG),"22,7","42,3","4,5",100,"82,6","1282,19","40,8","104,58","23,26","79,07","8,53","7,06","0,68","19,22","6,67","14,9",40,"30,14","95,47",,,100,14449
Matias Cardoso (MG),"13,1","28,8","3,4","76,47","61,7","789,77","114,82","71,78","9,9","59,41","10,89","4,09","1,13","18,03","16,76","20,31","65,92","59,65","93,36",,,100,10999
Matias Olímpio (PI),"27,3","48,2","3,6","38,68","32,3","926,32","367,54","38,4","11,76","61,76","5,88","6,04","3,76","13,24","15,15","84,53","90,99","87,37","97,46",,,,10759
Matina (BA),"32,8","49,1","3,2",100,49,"974,31","306,64","113,74","15,63","65,63","7,81","5,04","0,87","18,29","15,08","62,34","83,61","38,58",100,,,"66,8",12488
Matinha (MA),"20,1","30,3","3,4","55,08","12,6","897,8","447,03","125,24","18,57","29,97","7,43","4,85","10,56","39,81","7,81","40,77","95,21","28,45","29,25",,,,23091
Matinhas (PB),"32,1","42,2",3,"35,85","40,8","782,83","260,23","0,66","23,26","76,74","5,81","7,93","3,04","18,75","11,15","42,97","75,44","26,86",0,100,0,100,4537
Matinhos (PR),"13,7","28,1","4,5",100,"84,8","1279,61","52,19","166,73","20,7","61,9","7,04","8,16","0,42","16,05","6,06",11,"37,35","81,05",100,"99,99",100,100,33450
Matipó (MG),"13,8","34,7",4,"95,51","60,7","933,13","113,95","132,01","19,93","77,74","9,3","8,78","1,85","38,85","10,37","27,87","71,29","15,53","93,03","76,48",0,"99,48",18914
Mato Castelhano (RS),"25,5","28,6","4,2","91,14","56,5","1317,23","53,36","70,56",,60,16,"10,49","0,84","18,34","10,53","36,57","57,97","17,5","37,94","99,82",0,100,2574
Matões do Norte (MA),"28,6","51,1","3,6","78,15","28,9","1121,41","197,85","7,26","17,86","27,68","8,93","2,13","7,92","24,3",19,"27,22","87,75","69,03","67,2",,,,16908
Matões (MA),"30,4",54,"3,3","32,72","22,9","1024,01","261,75","87,09","17,93","39,24","8,37","3,75","12,04","38,59","20,55","59,47","82,22","95,15",,,,,33374
Mato Grosso (PB),"25,4","30,2",4,"90,6","54,2","974,83","226,47","19,39","41,67","41,67","12,5","7,2","8,54","27,12","25,96","51,83","72,11","63,09","85,26",,,,2915
Mato Leitão (RS),"16,5","26,4","4,5",100,"70,7","1143,28","20,65","44,72",0,"97,96","20,41","8,19","0,34","12,59","6,82","21,71","39,97","17,38",100,,,100,4276
Mato Queimado (RS),"13,4","28,6","4,9",100,"39,7","1329,38","38,95","21,96",0,80,"6,67","7,87","2,22","46,21","4,57","16,61","48,21","6,35",100,,,,1780
Mato Rico (PR),"20,2","18,3","4,6",100,"73,4","1054,49","143,66","75,68",0,"91,89","5,41","6,43","1,29","23,87","10,15","22,71","66,94","29,36",100,,,100,3576
Matos Costa (SC),"14,8","20,2","3,8","98,45","51,8","963,17","45,45","136,42","64,52","48,39","12,9","2,68",0,14,"11,12","5,56","26,8","48,88",100,,,100,2614
Mato Verde (MG),"1,6",19,"5,3","92,67","71,1","777,44","175,26","256,31","35,46","82,98","9,22","7,94","1,07","16,93","13,58","30,71","79,15","34,89",100,,,"98,75",12849
Matozinhos (MG),"7,3","22,6","4,4",100,"70,9","1401,8","59,88","132,54","13,94","64,14","9,56","6,75","1,15","22,67","7,45","27,77","59,67","37,23","90,4","63,65","79,54",100,37344
Matrinchã (GO),"10,7","28,4","5,1",100,"36,8","1044,96","144,55","161,28","22,22","75,56","8,89","5,57","0,95","36,9","10,71","9,05","74,41","32,23","98,29",,,,4490
Matriz de Camaragibe (AL),"30,4","36,2","4,1","80,05","41,6","859,19","205,24","212,28","22,9","52,93","7,89","7,64","2,22","19,55","28,11","40,69","76,96","13,75","41,41",,,,25012
Matupá (MT),5,"28,7","4,8","83,06",57,"1400,91","32,73","166,24","15,87","74,29","4,13","5,23","1,64","18,17","12,07","8,12","42,57","60,7",100,,,100,15870
Maturéia (PB),"30,9","40,7","3,5","98,85","64,8","1022,94","185,42","32,14","19,23","79,81","7,69","7,29","2,9","18,06","17,82","33,07","79,88","64,9",0,"59,26",0,100,6587
Matutina (MG),"7,9",11,"4,8",100,67,"963,86","38,97","193,58","41,67","77,08","8,33","9,1","0,71","31,97","4,99","7,37","30,77","29,73","96,59",,,,3846
Mauá da Serra (PR),"22,9","38,3","4,3",100,"60,1","1124,98","70,9","183,84",0,"76,77","10,97","7,47","0,3","21,06","13,65","10,19","47,83","23,81",100,,,100,10039
Mauá (SP),"4,5","10,8","4,9","78,75","70,9","1839,08","12,13","97,68","9,08","71,2","8,59","4,88","0,29","11,33","7,5","8,47","45,75","19,79","98,5","95,79","84,58",100,462005
Maués (AM),"32,1","57,7","4,2","19,75","20,3","1072,2","345,08","240,44","16,74","40,44","8,18","3,41","3,68","32,12","3,59","89,95","94,5","95,88",,,,,62212
Maurilândia do Tocantins (TO),"21,8","21,8","3,9","95,66","28,1","960,71","163,86","76,42","23,26","62,79","9,3","6,16",0,"16,39","8,4","30,2","65,77","84,56",100,,,100,3409
Maurilândia (GO),"12,9","31,6","5,1",100,48,"1378,6","102,57","120,83",0,"51,01","8,72","5,23","1,87","26,24","10,35",7,"70,87","11,67","97,14",,,,13379
Mauriti (CE),"13,4","21,7","4,5","81,63","43,1","850,37","244,1","191,38","6,95","76,63","7,51","5,82","3,46","24,56","16,15","56,21","77,85","59,69","61,69","11,27",100,,46548
Maxaranguape (RN),"32,2","43,1",3,"39,74","23,4","847,45","128,95","21,4","15,63","40,63","12,5","5,32","1,03","13,38","13,53","32,48","70,91","22,75",,,,,12223
Maximiliano de Almeida (RS),"13,1","24,2","5,6",100,54,"1134,95","62,23","94,89","41,67","83,33","10,42","8,95","6,93","49,82","5,75","20,26","40,45","33,05",100,,,100,4804
Mazagão (AP),"35,4","43,1",,"19,15","34,3","1080,97","385,53","111,18","24,44","27,78","7,56","2,94","1,52","16,27","11,53","52,55","88,6","93,88","23,85",3,0,,20387
Medeiros (MG),"6,9","21,2","5,4",100,"74,8","964,74","38,14","42,17",0,"88,1","9,52","6,11","2,65","33,53","8,5","10,21","29,88","40,19",100,,,"93,9",3765
Medeiros Neto (BA),"28,3",43,"3,5","86,72",54,"1113,47","141,92","631,77","7,55","63,77","6,04","9,2","4,36","44,33","21,48","20,58","59,43","2,03","99,64",,,,23586
Medianeira (PR),"13,2","24,2","5,2",100,"69,8","1528,85","13,08","190,46","10,42","80,21","7,81","5,77","2,96","18,17","11,25","4,59","22,44","16,88",100,"35,97",100,100,45586
Medicilândia (PA),"35,2",55,"3,5","74,65","23,9","1121,06","193,85","119,7","6,48","53,78","5,62","3,97","12,87","35,08","14,96","49,99","86,31","80,59",,,,,30726
Medina (MG),18,35,"3,7","92,44","65,9","1047,02",110,"363,6",12,"66,8","8,4","9,62","6,7","36,64","8,8","28,34","56,77","33,73","95,65",83,"3,21",100,21409
Meleiro (SC),"13,8","20,4","5,5",100,81,"1310,65","83,2","33,28","12,2","48,78","6,1","8,09","2,42","32,7","3,7","79,35","34,29","13,06","99,35",,,100,7047
Melgaço (PA),"46,6","67,7","3,6","30,36","28,7","1382,98","284,61","73,6","17,79","19,75","4,98","2,01","14,4","35,06","20,31","63,08","94,51","91,19",,,,,26897
Mendes Pimentel (MG),"6,4",32,"5,1",100,"62,4",870,"143,09","182,68","13,51","82,43","6,76","6,7","8,39","42,48","15,18","20,43","61,31","2,6",100,,,,6564
Mendes (RJ),"28,1","39,7","4,6","84,66","42,4","1005,45","80,5","172,74","9,9","74,75","10,89","9,05","0,38","26,92","6,28",34,"60,41","47,09",,,,100,18123
Mendonça (SP),"8,9","12,9","5,8",100,"96,4","1562,74","17,67","123,04",0,"79,22","10,39","9,05","0,56","15,59","9,07","3,94","29,08","6,24",,,,100,5302
Mercedes (PR),"10,2",19,"5,1",100,"66,9","1306,04","22,73","97,52",0,"87,01","10,39","5,11","0,3","7,03","4,52","5,16","21,39","16,44","99,66",,,"98,04",5476
Mercês (MG),"15,1","36,2","4,1",100,76,"864,23","126,55","235,22","19,8","83,17","4,95","8,47","3,1","44,81","5,88","25,43","49,94","22,35","94,75",100,0,100,10868
Meridiano (SP),"6,4","7,8",6,100,"85,2","1783,28","50,24","125,47",20,92,10,"9,51","1,59","17,62","7,63","15,61","33,73","11,2",100,100,100,100,3892
Meruoca (CE),"6,2","30,5","5,8","93,21","66,9","780,27","195,99","149,98","4,72",75,"6,13","5,35","2,46","21,54","8,84","42,16","68,44","96,25","50,3",,,,14948
Mesópolis (SP),"10,9","12,2",5,100,"70,3","1402,43","43,1","76,19",0,"92,59","18,52","11,42",0,"17,33","8,3","3,5","40,23","2,47",100,100,100,100,1926
Mesquita (MG),"7,2",14,"4,5",100,"45,8","869,66","122,09","78,93",0,"75,44","12,28","7,95","1,56","18,86","7,13","32,51","60,69","17,06",100,100,0,100,5911
Mesquita (RJ),"21,8","35,9","3,5","98,37","46,9","1316,11","79,48","288,93","13,32","58,95","10,16","8,2","0,48","12,65","5,14","41,51","72,68","50,31","99,33","49,46","6,48",100,171280
Messias (AL),"25,3","51,8","3,8","95,31","39,8","1038,81","117,83","165,24","7,14",65,"6,07","5,84","1,63","16,64","23,85","16,44","62,49","15,14","69,45",,,,17988
Messias Targino (RN),"23,5","45,8","3,1","94,37","54,5","862,31","234,94","53,51",,"69,35","9,68","4,77","1,21","13,95","17,88","57,4","67,1","66,51",0,,,,4608
Miguel Alves (PI),42,"59,5","3,1","74,38","18,5","1545,87","366,13","119,15","21,4","45,53","8,56","5,84","15,76","39,07","17,45","86,26","93,06","91,51","95,15",,,100,33209
Miguel Calmon (BA),"30,4","48,1","2,9","88,7","48,6","1073,64","170,21","162,99","15,96","73,4","10,64","6,58","4,75","27,18","13,57","51,58","74,86","49,8",100,"26,95",100,,27520
Miguel Leão (PI),"41,2","58,2",,100,"26,1","951,35","223,24","47,5","71,43","71,43","14,29","7,33",0,"11,67","17,27","26,25","67,07","98,78",,,,,1228
Miguelópolis (SP),11,"10,7",4,"93,2","55,6","1538,03","104,31","148,29","7,43","81,04","12,27","6,92","2,66","23,26","9,98","44,31","68,16","7,93","89,74","90,42",100,100,21973
